Symbol,Company Name,My Rating,Volatility Rankings,Quantitative Grade,Fundamental Grade,Sales Growth,Operating Margin Growth,Earnings Growth,Earnings Revisions,Earnings Surprises,Earnings Momentum,Cash Flow,Return on Equity,Market Cap ($B),Current P/E,Dividend Yield (%),52-Week High ($),52-Week Low ($),Last Year EPS ($),Last Qtr. Surprise (%),Next Qtr. Sales (M),Next Qtr. Sales Growth (%),Next Qtr. EPS ($),Next Qtr. Earnings Growth (%),Est. Long-Term Growth (%),Company Profile,Industry,No. of Companies in Industry,Market Cap Rank,Estimated Sales Rank,Earnings Rank,Long-Term Growth Rank
JAZZ,Jazz Pharmaceuticals Plc,D,Conservative,D,C,B,F,D,C,C,F,C,B,10,22.5,0,183,131,2.56,7.4,470.5,19.3,3.23,26.24,16.7,"Operates as a specialty biopharmaceutical company, which focuses on the identification, development and commercialization of pharmaceutical products",Pharmaceuticals: Other,99,1,27,8,12
JBLU,JetBlue Airways Corporation,D,Conservative,F,C,C,C,C,F,B,D,D,A,5,5.4,0,24,18,0.64,21.3,1,4.7,0.37,-41.45,12.2,Provides passenger air transportation services,Airlines,19,8,11,14,16
JCI,Johnson Controls International plc,F,Conservative,F,C,D,C,C,C,C,F,D,B,31,21.1,3,44,33,0.71,2.1,7,3.3,0.79,11.54,9.6,Operates as a global diversified technology and industrial business,Miscellaneous Commercial Services,96,2,47,35,55
JLL,Jones Lang LaSalle Incorporated,A,Conservative,A,B,A,A,A,B,A,F,B,C,7,30.4,0,177,117,1.82,62.2,2,9.5,2.16,18.83,11,Provides integrated real estate and investment management services,Real Estate Development,45,2,12,10,12
JNJ,Johnson & Johnson,F,Conservative,F,C,C,D,D,C,C,C,C,D,329,315,3,148,119,1.83,2.9,20,8.4,2.06,12.66,7.8,Operates as an investment holding company with interests in health care products,Pharmaceuticals: Major,47,1,8,7,8
KAMN,Kaman Corporation,A,Conservative,A,B,D,A,A,B,B,C,B,C,2,40.5,1,75,48,0.48,20.6,473.6,5.5,0.62,28.75,22.5,"Designs, manufactures and distributes aircrafts, aircraft parts and components",Aerospace & Defense,55,29,20,10,13
KEP,Korea Electric Power Corporation Sponsored ADR,F,Conservative,F,D,C,F,F,F,F,B,F,D,20,17.4,0,20,14,0.23,-30.3,12,6.9,-0.38,-265.87,46.3,Distributes and transmits electricity; provides engineering services for utility plant maintenance,Electric Utilities,69,13,13,53,6
KEYS,Keysight Technologies Inc,B,Conservative,A,B,A,C,C,B,D,A,B,C,11,100.2,0,62,38,0.61,0.1,961.9,11.5,0.79,29.3,15.4,"Provides electronic measurement instruments and systems and related software, software design tools and services",Electronic Equipment/Instruments,56,5,20,8,21
KFY,Korn/Ferry International,A,Conservative,A,B,B,B,B,B,B,D,B,B,3,31.5,1,65,32,0.55,14,462.1,15.2,0.71,28.36,14.3,Provides talent management solutions,Personnel Services,25,5,4,10,14
KHC,Kraft Heinz Company,F,Conservative,F,C,D,C,C,C,B,F,D,B,77,7.1,4,89,54,0.98,9.2,6,-1,0.93,-4.79,5.3,Manufactures and markets packaged food products,Food: Major Diversified,9,1,8,7,6
KL,Kirkland Lake Gold Ltd.,A,Moderate,A,B,B,A,A,C,C,A,C,B,4,29.2,0,20,9,0,0,0,0,0,0,0,Mines for gold and other minerals,Precious Metals,59,12,0,0,0
KLXI,"KLX, Inc.",B,Conservative,A,B,B,B,A,C,C,C,B,C,3,69.4,0,80,46,0.73,2.1,507.8,17.9,1.26,72.6,7.3,"Provides distribution, logistics and technical services in the aerospace and oil and gas market",Aerospace & Defense,55,22,6,2,39
KMB,Kimberly-Clark Corporation,F,Conservative,F,D,D,F,F,C,C,F,D,A,35,15.8,4,134,99,1.49,1.4,4,2.5,1.6,7.06,7.3,Engages in the manufacturing of paper based products and providing cleaning solutions,Household/Personal Care,25,6,14,9,15
KMI,Kinder Morgan Inc Class P,D,Conservative,F,C,D,B,C,B,C,A,B,D,38,1,3,21,15,0.14,3.6,3,4.8,0.2,40.16,15.7,Provides pipeline transportation of natural gas,Oil & Gas Pipelines,55,4,39,12,26
KO,Coca-Cola Company,D,Conservative,F,C,F,B,C,C,C,A,C,C,184,160.2,3,49,42,0.59,2.9,8,-11.6,0.6,2.44,8.3,"Manufactures, wholesales and retails nonalcoholic beverages",Beverages: Non-Alcoholic,17,1,13,10,10
KR,Kroger Co.,B,Moderate,B,B,D,A,A,B,B,C,B,A,23,14,2,31,20,0.39,16.2,27,1.2,0.37,-4.42,7.8,Operates supermarkets and convenience stores,Food Retail,12,1,6,5,5
KS,KapStone Paper and Packaging Corporation,A,Moderate,A,B,D,A,A,A,B,B,D,A,3,14.1,1,35,20,0.27,18.4,935.8,13.7,0.49,80.83,27.3,Engages in the manufacturing of paper container and packaging products,Pulp & Paper,12,2,4,1,4
KSU,Kansas City Southern,D,Conservative,D,D,D,D,D,D,D,F,D,A,11,11.8,1,114,101,1.33,-2.1,693.7,5.7,1.54,15.97,14.1,Operates as a transportation holding company,Railroads,9,6,6,5,7
KYO,Kyocera Corporation Sponsored ADR,F,Conservative,F,D,C,F,F,C,F,F,D,C,20,28,0,72,54,0.86,-145.2,3,13.2,0.85,-0.92,28,Engages in the manufacture and sale of electronic equipment and components,Electronic Equipment/Instruments,56,3,18,18,11
L,Loews Corporation,D,Conservative,D,C,C,D,D,D,B,F,C,C,15,14.2,1,53,45,0.61,11.7,0,0,0.8,29.69,7.7,Operates as a holding company with interest in the exploration and marketing of natural gas and oil and insurance services businesses,Property/Casualty Insurance,54,5,0,12,41
LB,"L Brands, Inc.",F,Moderate,F,D,C,F,D,D,B,D,F,F,10,10.7,7,63,32,0.48,11.2,2,5.8,0.33,-30.76,-0.6,Engages in the retail business,Apparel/Footwear Retail,37,8,16,23,29
LEG,"Leggett & Platt, Incorporated",F,Conservative,F,C,C,D,D,D,D,D,C,A,5,20.5,3,54,40,0.64,-2.2,1,10.6,0.62,-3.69,8.9,"Manufactures components for bedding, furniture, retail store fixtures and displays",Home Furnishings,15,2,4,7,11
LGF.A,Lions Gate Entertainment Corp,D,Conservative,D,C,F,A,B,B,C,F,B,B,5,11.8,0,36,22,0.8,0,892.9,-11.2,-0.06,-108.08,8.9,Produces and distributes film and television entertainment content,Movies/Entertainment,40,13,28,20,17
LGND,Ligand Pharmaceuticals Incorporated,A,Conservative,A,B,A,A,A,A,B,D,B,B,4,391.1,0,200,117,0.67,20.3,37.2,32.9,0.93,39.18,29.4,Operates as a biotechnology company,Biotechnology,336,32,66,7,22
LII,Lennox International Inc.,D,Conservative,D,D,D,D,D,C,C,F,B,F,8,28,1,221,161,2.83,2.9,1,1.6,3.54,25.04,17.7,"Designs, manufactures and markets a broad range of products for the heating, ventilation, air conditioning and refrigeration markets",Building Products,33,4,27,14,20
LM,"Legg Mason, Inc.",D,Conservative,F,C,C,D,C,D,B,D,B,C,3,9.9,3,46,35,0.52,21.9,754.5,-5,0.81,56.64,4.6,"Provides securities brokerage, trading and investment services",Investment Managers,58,15,37,5,35
LNG,"Cheniere Energy, Inc.",A,Conservative,A,B,A,A,A,A,A,A,F,C,16,0,0,69,41,-0.93,121.4,1,35.8,0.24,0,37.5,Operates natural gas pipelines and distribution stations,Oil & Gas Pipelines,55,13,14,0,15
LOXO,Loxo Oncology Inc,B,Aggressive,A,B,C,C,C,A,A,A,D,F,5,0,0,187,70,-1.14,80,33.7,0,-0.54,0,-241.3,Operates as a biopharmaceutical company,Biotechnology,336,26,0,0,48
LPL,"LG Display Co., Ltd Sponsored ADR",F,Conservative,F,F,F,F,F,F,F,F,F,C,6,3.8,0,17,8,0.92,-239,5,-11.1,-0.13,-114.67,22.2,Manufactures display panels,Electronics Distributors,12,2,8,8,1
LPLA,LPL Financial Holdings Inc.,A,Conservative,A,B,B,A,A,A,A,D,C,A,6,26.6,2,72,41,0.74,44.7,1,20.6,1.21,62.9,44.3,"Operates as an investment holding company with interests in technology, brokerage and investment advisory services",Investment Banks/Brokers,43,15,8,4,5
LSTR,"Landstar System, Inc.",B,Conservative,B,B,A,B,A,A,C,F,C,A,4,27,0,116,81,0.89,1.2,1,32.5,1.51,69.52,21.7,Provides integrated transportation management solutions,Trucking,18,6,3,5,13
LULU,Lululemon Athletica Inc,A,Conservative,A,B,B,A,A,B,B,C,C,A,16,65.4,0,130,55,0.39,19.6,664.8,14.4,0.49,24.88,18,Designs and retails athletic apparels,Apparel/Footwear Retail,37,3,3,9,10
LUV,Southwest Airlines Co.,F,Conservative,F,C,D,B,B,F,C,F,D,A,30,8.9,1,66,50,1.24,1.6,5,0.6,1.24,0.28,17.2,Provides scheduled air transportation services,Airlines,19,2,14,5,10
LVS,Las Vegas Sands Corp.,B,Conservative,B,B,B,A,A,B,B,D,B,A,62,22.5,4,81,60,0.73,22.7,3,4.4,0.79,8.51,10,"Owns, operates, and manages casino gaming operations, resort hotel facilities and riverboat casinos",Casinos/Gaming,25,1,11,11,16
LYB,LyondellBasell Industries NV,B,Conservative,A,B,B,B,B,B,B,F,C,A,43,9.1,4,121,80,2.82,11.5,9,10.4,2.94,4.16,5.5,Manufacturers and sells petrochemicals,Chemicals: Specialty,50,2,14,24,31
M,Macy's Inc,B,Moderate,A,B,C,A,A,A,A,F,D,A,11,7.4,5,40,18,0.48,34.8,5,-0.1,0.49,2.89,-2.7,Operates department stores,Department Stores,5,2,4,3,5
MA,Mastercard Incorporated,A,Conservative,A,B,A,C,B,B,B,F,C,A,211,55.2,1,203,121,1.1,20,3,19.6,1.54,39.87,23.6,Provides credit card services,Finance/Rental/Leasing,65,2,14,17,23
MANU,Manchester United Plc,B,Conservative,B,B,B,C,C,A,C,C,C,D,3,69.2,1,22,16,0.19,0,188.3,-21,-0.01,-105.08,-36.8,Operates and manages professional sports team,Movies/Entertainment,40,18,30,19,25
MAT,"Mattel, Inc.",D,Moderate,D,D,F,C,C,F,F,C,F,F,6,0,4,22,13,-0.14,-52.8,862.5,-11.5,-0.29,0,145.3,"Designs, manufactures and markets toys",Recreational Products,24,6,21,0,2
MC,Moelis & Co.,A,Conservative,A,B,B,A,B,B,B,C,A,B,2,76.6,3,67,38,0.66,17.3,198.9,15.6,0.62,-5.52,17.3,"Provides financial advisory, capital raising and asset management services",Investment Banks/Brokers,43,23,11,29,19
MCK,McKesson Corporation,F,Conservative,F,D,D,F,F,C,D,F,F,D,30,6.6,1,177,135,2.46,-1.9,52,3.5,2.7,9.63,7,Distributes pharmaceuticals and provides healthcare software and health information technology services,Medical Distributors,8,1,6,2,4
MDLZ,"Mondelez International, Inc.",D,Conservative,F,C,D,B,B,C,C,C,C,B,61,21.9,2,46,38,0.48,1.9,6,4.7,0.54,12.55,10.1,Manufactures and markets packaged food products,Food: Major Diversified,9,2,3,2,3
MDT,Medtronic plc,D,Conservative,F,C,D,B,C,C,C,D,C,C,117,38.2,2,89,77,1.14,2.5,7,-1.6,1.11,-2.28,7.9,Provides medical technology services,Medical Specialties,169,1,109,45,67
MELI,"MercadoLibre, Inc.",D,Moderate,D,D,B,F,F,F,F,F,D,D,12,938.3,0,414,222,0.12,-164.5,361.7,14.3,-0.02,-116.67,129.1,Provides internet trading services,Internet Software/Services,91,14,36,46,4
MET,"MetLife, Inc.",D,Conservative,F,C,F,A,B,B,B,D,B,C,46,12.6,3,56,44,1.19,16.7,15,-8.7,1.19,-0.23,14.9,Provides insurance and financial services and also function as bank holding company,Life/Health Insurance,24,1,13,12,7
MFG,"Mizuho Financial Group, Inc. Sponsored ADR",D,Conservative,F,C,F,C,C,B,A,A,B,C,43,8.3,0,4,3,0.08,34.5,4,11.6,0.09,9.19,-2.1,Operates as a bank holding company,Major Banks,44,22,6,26,42
MGM,MGM Resorts International,D,Conservative,F,C,D,C,C,D,A,B,D,A,16,8.9,1,38,30,0.3,67.1,2,12.7,0.29,-3.06,24.6,Operates as holding company that is primary engaged in the ownership and operation of casino resorts,Casinos/Gaming,25,3,6,13,11
MKSI,"MKS Instruments, Inc.",B,Moderate,B,B,B,B,B,B,C,F,B,A,5,16.1,1,125,67,1.41,3.7,568,18.1,2.21,57.07,21.2,"Provides process control solutions that measure, control, power and monitor critical parameters of semiconductor devices",Electronic Production Equipment,39,9,15,7,16
MLCO,Melco Resorts and Entertainment Ltd,B,Conservative,B,B,D,B,B,A,A,A,C,B,14,42.1,1,33,20,0.16,30.1,1,3.9,0.28,74.68,43.7,Provides casino gaming and entertainment services,Casinos/Gaming,25,4,13,5,4
MLNX,"Mellanox Technologies, Ltd.",A,Conservative,A,B,A,C,C,A,B,A,B,D,4,0,0,89,43,0.44,15.8,263.2,24.2,1.08,145.52,52.3,Manufactures and supplies semiconductor-based high performances interconnect products,Semiconductors,61,23,13,2,9
MMM,3M Company,D,Conservative,F,D,C,F,F,D,D,F,D,A,116,24.8,2,259,194,2.58,-0.2,8,8,2.58,-0.08,9.8,"Manufactures and distributes consumer products such as papers, electronic gadgets and medical supplies",Industrial Conglomerates,12,1,1,6,5
MO,Altria Group Inc,F,Conservative,F,C,D,B,B,C,C,F,C,A,107,10.7,4,77,55,0.85,3.9,5,-1.3,1.01,18.48,12.2,Operates as a holding company which produces and markets tobacco products,Tobacco,7,2,4,2,2
MOH,"Molina Healthcare, Inc.",B,Moderate,B,B,F,B,C,A,A,B,B,F,6,0,0,101,57,-4.01,125.5,4,-6.6,1.08,0,16.9,Provides health care services to persons eligible for Medicaid,Managed Health Care,11,8,10,0,4
MOMO,Momo Inc Sponsored ADR,B,Moderate,B,B,A,C,B,A,A,D,D,A,8,31.2,0,54,23,0.15,48.2,473,51.5,0.54,263.3,164.5,"Operates as a holding company, which through its subsidiaries operates a mobile-based social networking platform",Internet Software/Services,91,21,5,1,3
MORN,"Morningstar, Inc.",A,Conservative,A,B,B,A,A,C,C,F,C,A,5,41.4,1,134,77,1.07,0,0,0,0,0,0,Provides financial data and investment advisory services,Financial Publishing/Services,12,7,0,0,0
MPWR,"Monolithic Power Systems, Inc.",B,Conservative,B,B,B,B,B,C,C,C,C,B,5,93,1,142,94,0.68,3,139.4,24.3,0.9,31.81,23.3,"Designs, develops and markets proprietary, advanced analog and mixed-signal semiconductors",Semiconductors,61,21,12,12,19
MRK,"Merck & Co., Inc.",D,Conservative,F,C,C,F,F,C,C,B,D,C,165,71.5,3,66,53,1.01,5.5,10,3.9,1.03,1.88,7.9,"Discovers, develops and markets human and animal health products",Pharmaceuticals: Major,47,4,13,12,7
MRO,Marathon Oil Corporation,A,Moderate,A,B,A,C,C,A,A,B,D,D,18,0,1,22,11,-0.17,28.3,1,33.3,0.18,0,10.2,"Explores, produces, transports and markets crude oil and natural gas",Oil & Gas Production,130,13,37,0,73
MSFT,Microsoft Corporation,B,Conservative,A,B,B,C,B,B,B,D,D,A,772,68.8,2,102,68,0.98,11.4,29,18.3,1.08,9.99,12.4,"Develops, manufactures and distributes software products",Packaged Software,87,1,26,32,45
MSI,"Motorola Solutions, Inc.",B,Conservative,A,B,B,B,B,B,A,D,B,C,19,0,2,118,83,1.12,26.8,1,14,1.37,22.34,14.4,"Provides communication infrastructure, devices, accessories, software and services",Aerospace & Defense,55,7,9,16,29
MTCH,"Match Group, Inc.",A,Conservative,A,B,A,A,A,A,B,D,B,A,11,35.8,0,48,17,0.16,10.9,413.3,33.5,0.34,113.16,7.3,Provides dating products,Internet Software/Services,91,16,16,3,50
MTD,Mettler-Toledo International Inc.,D,Conservative,F,C,C,D,C,C,C,F,C,A,14,40.9,0,692,546,3.92,0.2,716.2,9.6,4.59,16.97,12.6,Manufactures and supplies precision instruments,Medical Specialties,169,18,65,20,51
MU,"Micron Technology, Inc.",A,Moderate,A,B,A,A,A,A,C,F,B,A,66,9,0,63,27,2.02,0.5,8,34.4,3.32,64.24,41,"Manufactures and distributes advanced semiconductor solutions such as DRAMs, NAND flash memory, CMOS image sensors, other semiconductor components and memory modules",Semiconductors,61,6,9,5,11
MUFG,"Mitsubishi UFJ Financial Group, Inc. Sponsored ADR",D,Conservative,F,C,F,B,D,D,D,A,C,C,74,8.4,0,8,6,0.2,-0.6,9,-0.9,0.15,-22.12,2.5,Operates as a holding company which provides financial and banking services through its subsidiaries,Major Banks,44,10,32,41,37
MUR,Murphy Oil Corporation,B,Moderate,B,B,B,A,A,A,D,C,B,D,5,0,4,35,23,-0.11,-9.1,613.5,29.3,0.39,0,-6.5,Engages in oil and gas exploration and production,Oil & Gas Production,130,28,44,0,81
MYGN,"Myriad Genetics, Inc.",B,Moderate,B,B,D,A,A,B,B,D,B,B,2,21,0,41,23,0.3,13.8,195.7,-2.4,0.33,9.15,16.9,Develops therapeutic and predictive medicine products,Biotechnology,336,44,122,13,26
MYL,Mylan N.V.,D,Conservative,D,C,D,B,B,C,C,D,D,C,19,29.7,0,48,30,1.1,0.9,2,1.2,1.23,12.05,10.9,Manufactures pharmaceuticals,Pharmaceuticals: Generic,15,4,5,4,4
NCLH,Norwegian Cruise Line Holdings Ltd.,D,Conservative,F,C,C,B,B,C,B,F,D,B,11,15.7,0,61,50,1.02,11,1,11.3,1.02,0.27,12.1,Operates deep sea and flagged cruise ships in the travel industry,Hotels/Resorts/Cruiselines,18,7,5,11,14
NEE,"NextEra Energy, Inc.",B,Conservative,B,B,C,A,A,C,C,F,B,A,77,14.4,2,166,139,1.86,6.6,4,3.7,2,7.75,10,Operates as an investment holding company with interests in generating and distributing electricity,Electric Utilities,69,1,20,18,15
NEOG,Neogen Corporation,A,Conservative,A,B,C,B,B,B,A,B,C,B,4,83.2,0,84,48,0.24,38.4,108.2,9.4,0.3,26.04,17.8,Manufactures and markets medical testing kits,Medical Specialties,169,41,66,12,32
NEP,NextEra Energy Partners LP,B,Conservative,B,B,B,A,A,B,A,C,B,D,2,0,4,45,37,0.24,225,275.7,35.1,0.41,70.2,9.4,"Operates, owns and acquires contracted clean energy projects with stable, long-term cash flows",Alternative Power Generation,8,2,2,1,5
NEWR,"New Relic, Inc.",A,Moderate,A,B,A,C,C,A,A,B,C,F,5,0,0,111,42,-0.09,74.6,106.1,32.5,0.11,0,80.4,Develops software for analytics solutions,Information Technology Services,110,26,15,0,15
NFLX,"Netflix, Inc.",A,Moderate,A,B,A,B,B,B,C,C,C,B,178,328.9,0,417,146,0.15,0.8,3,41.4,0.8,432.79,82.9,Provides online movie rental subscription services,Cable/Satellite TV,15,1,4,2,2
NGHC,National General Holdings Corp.,B,Conservative,B,B,D,A,A,C,B,A,B,C,2,45.2,1,28,16,0.19,18.8,1,14.7,0.58,207.37,44.7,Operates as a specialty personal lines insurance holding company,Property/Casualty Insurance,54,21,5,4,12
NGVT,Ingevity Corporation,B,Conservative,B,B,C,A,B,B,A,F,B,A,3,27.3,0,84,54,0.78,24.5,306.4,17.7,0.98,26.07,32.6,Engages in the manufacturing of specialty chemicals,Chemicals: Major Diversified,8,7,3,3,1
NHI,"National Health Investors, Inc.",D,Conservative,D,D,F,D,D,C,D,F,D,B,3,19.2,6,81,63,0.93,-0.4,72.9,4.4,0.96,2.96,1,Operates a real estate investment trust,Real Estate Investment Trusts,226,95,109,75,105
NLSN,Nielsen Holdings Plc,F,Conservative,F,C,D,C,D,C,D,C,D,B,11,25.7,4,43,30,0.73,-6.5,1,3.9,0.37,-49.5,15.1,Provides global marketing data collection and analytics services,Advertising/Marketing Services,21,3,8,10,8
NNN,"National Retail Properties, Inc.",B,Conservative,B,B,C,C,B,A,A,C,F,C,6,36.3,5,44,37,0.33,68.7,154.1,5.9,0.38,16.16,4.2,Operates as real estate investment trust,Real Estate Investment Trusts,226,45,98,55,84
NOK,Nokia Oyj Sponsored ADR,D,Conservative,D,C,D,C,C,F,F,B,A,D,33,0,0,7,5,0.09,-48,6,-5.4,0.05,-46.21,7.7,"Provides network infrastructure, technology and software services",Telecommunications Equipment,55,3,28,23,30
NOMD,Nomad Foods Ltd.,B,Conservative,A,B,B,B,B,D,B,C,B,C,3,21.9,0,19,14,0.27,16,565.5,4.6,0.28,4.37,7.8,Operates as a holding company which produces frozen foods,Food: Specialty/Candy,33,9,14,12,15
NOW,"ServiceNow, Inc.",A,Conservative,A,B,A,C,C,A,A,B,D,D,31,0,0,186,104,0.22,51.3,618.9,31.2,0.43,96.54,55.6,Provides cloud-based services that automate enterprise IT operations,Information Technology Services,110,6,18,3,20
NRZ,New Residential Investment Corp.,B,Conservative,B,B,A,A,A,B,C,F,A,A,6,5.9,12,19,15,1.03,7.1,341.7,-17.6,0.55,-46.84,-7.6,Acts as Private Equity Fund,Real Estate Investment Trusts,226,52,196,142,142
NSP,"Insperity, Inc.",A,Conservative,A,B,B,B,B,A,A,D,B,A,4,47.9,2,101,35,0.41,23.9,900.2,13.2,0.6,47.32,26.2,Provides human resources and business solutions,Personnel Services,25,4,6,3,6
NTAP,"NetApp, Inc.",A,Conservative,A,B,C,B,B,A,C,D,C,C,20,33,1,78,38,0.62,4.3,1,7.3,0.8,28.47,15.8,Provides data management and storage solutions,Computer Peripherals,22,2,6,4,7
NTES,"NetEase, Inc. Sponsored ADR",F,Conservative,F,D,C,F,F,F,F,F,D,B,34,21.6,1,371,223,3.36,-32.9,2,24.7,2.79,-17.07,9.3,Operates an online portal,Internet Software/Services,91,6,21,39,47
NUAN,"Nuance Communications, Inc.",F,Conservative,F,D,D,C,C,D,D,B,F,D,4,0,0,19,13,0.27,-2.4,495.5,0,0.27,-1.48,7.1,Provides voice and language solutions for businesses and consumers,Packaged Software,87,32,64,42,51
NVDA,NVIDIA Corporation,A,Conservative,A,B,A,B,A,A,A,F,C,A,152,52.1,0,267,139,0.92,35.8,3,38.8,1.65,79.76,29.9,"Designs and manufactures computer graphics processors, chipsets, and related multimedia software",Semiconductors,61,3,6,4,15
NVR,"NVR, Inc.",B,Conservative,B,B,B,B,B,B,B,F,C,A,10,23.6,0,3,2,35.19,22.2,1,20.2,47.21,34.15,26.6,"Constructs, sells and finances new family homes",Homebuilding,26,5,9,10,11
NVS,Novartis AG Sponsored ADR,F,Conservative,F,C,C,C,C,D,C,D,F,B,174,22.8,0,94,74,1.22,1.6,13,8,1.33,8.93,6.6,Manufactures and markets health care and nutritional products,Pharmaceuticals: Major,47,3,9,9,9
NXPI,NXP Semiconductors NV,D,Conservative,C,D,D,F,F,D,D,F,D,C,39,17.6,0,126,92,1.51,-7.2,2,7.1,1.65,9.47,8.8,"Manufactures, designs and provides mixed-signal semiconductor solutions",Semiconductors,61,7,28,27,46
NYT,New York Times Company,A,Conservative,A,B,D,A,B,D,B,A,B,D,4,1,1,27,17,0.18,13.3,411.2,1,0.13,-25.93,47.4,"Operates as a global, multimedia news and information company, which engages in publishing newspapers, digital businesses, investments in paper mills and other investments",Publishing: Newspapers,10,3,4,4,3
O,Realty Income Corporation,D,Conservative,D,C,C,D,C,D,D,B,D,C,15,48.7,5,60,48,0.3,-11.9,324.7,8.2,0.32,7.5,6.4,Operates as a real estate company,Real Estate Investment Trusts,226,19,75,67,71
OC,Owens Corning,D,Conservative,D,D,B,D,D,D,F,D,D,C,7,25.7,1,96,62,1.2,-16.4,1,16.4,1.46,21.41,17.8,"Operates as a global producer of residential and commercial building materials, glass-fiber reinforcements and engineered materials for composite systems",Construction Materials,18,6,5,10,12
ODFL,"Old Dominion Freight Line, Inc.",A,Conservative,A,B,B,B,B,B,C,F,C,A,12,28.1,0,163,92,1.19,2.4,1,21.3,1.79,50.52,21.4,Provides local and long-haul trucking services,Trucking,18,3,5,10,14
OKE,"ONEOK, Inc.",A,Conservative,A,B,B,A,B,B,C,C,D,B,28,52.6,5,70,49,0.33,4.5,3,38.7,0.66,99.64,42.6,"Purchases, gathers, compresses, transports and stores natural gas",Oil & Gas Pipelines,55,5,11,7,12
OKTA,"Okta, Inc.",A,Moderate,A,B,A,C,C,A,A,A,D,F,5,0,0,57,22,-0.16,42.9,84.8,39.1,-0.19,0,0,Provides an enterprise-grade identity management services,Packaged Software,87,27,4,0,0
OLED,Universal Display Corporation,D,Moderate,F,D,F,D,D,F,C,D,C,B,4,39.7,0,206,86,0.99,1.4,49.9,-51.3,0.16,-84.18,36.8,"Engages in research, development and commercialization of organic light emitting diode (OLED), technologies and materials",Electronic Components,53,8,39,30,5
OLLI,Ollie's Bargain Outlet Holdings Inc,A,Conservative,A,B,B,B,B,B,B,C,B,B,4,37.8,0,77,39,0.27,12.2,284.1,11.6,0.36,34.68,24.1,Operates chain of salvage merchandise retail stores,Department Stores,5,3,1,1,1
OMF,"OneMain Holdings, Inc.",B,Moderate,B,B,C,A,A,C,C,C,B,C,4,25.3,0,35,24,0.81,4.7,835.4,21.1,1.13,39.23,19.8,Operates as a financial services holding company that is engaged in the consumer finance and credit insurance businesses,Finance/Rental/Leasing,65,10,11,21,33
ON,ON Semiconductor Corporation,B,Conservative,B,B,F,A,A,B,C,D,B,A,10,12.9,0,27,14,0.34,2.7,1,6.8,0.45,29.28,14.5,Manufactures and develops semiconductors,Semiconductors,61,17,29,15,34
ORBK,Orbotech Ltd.,A,Conservative,A,B,A,A,A,C,B,D,B,B,3,22.7,0,65,33,0.67,11,258.3,22.6,0.89,33.33,16.5,"Designs, develops, manufactures, markets and services of automated optical inspection systems for bare printed circuit boards and flat panel displays",Electronic Production Equipment,39,11,8,14,22
ORCL,Oracle Corporation,F,Conservative,F,C,D,C,C,C,C,C,B,C,176,18.9,2,53,43,0.62,5.2,9,1.4,0.69,10.88,7.1,"Designs, develops, markets, and supports a diversified line of business software products",Packaged Software,87,2,63,31,52
OSB,Norbord Inc.,B,Conservative,B,B,B,A,A,A,D,F,D,A,3,8,4,45,30,1.1,-9.8,625.9,16.8,1.46,32.66,-2,Engages in the business of producing wood-based panels,Forest Products,6,3,2,4,5
OXY,Occidental Petroleum Corporation,A,Conservative,A,B,B,A,A,A,A,F,D,B,63,48.7,5,86,59,0.15,30.6,4,31.4,1.21,704.75,135.4,"Explores, develops, produces, and markets crude oil and natural gas",Oil & Gas Production,130,4,41,3,21
PAYC,"Paycom Software, Inc.",B,Conservative,B,B,B,D,B,B,C,B,C,A,6,94.9,0,118,66,0.26,6.5,124.4,26.7,0.48,86.02,19.5,Provides cloud-based human capital management software solutions,Packaged Software,87,23,15,6,32
PCG,PG&E Corporation,F,Conservative,F,D,F,D,D,C,D,F,F,C,22,13.4,2,72,38,0.86,-12.5,4,0.8,0.92,7.35,4.1,Provides electric energy services and transports natural gas,Electric Utilities,69,11,31,21,41
PCTY,Paylocity Holding Corp.,B,Conservative,B,A,B,A,A,A,A,A,B,A,3,281.4,0,64,43,0.09,83,93.3,22.7,0.12,35.56,33.3,Operates as a holding company with interests in online payroll and human resource solutions,Packaged Software,87,36,18,16,20
PEB,Pebblebrook Hotel Trust,B,Conservative,B,B,D,A,A,B,A,B,D,C,2,33,4,41,32,0.57,54.7,206.9,0.6,0.34,-39.77,4.2,Operates as a hotel investment company,Real Estate Investment Trusts,226,107,136,139,83
PEGA,Pegasystems Inc.,D,Conservative,F,D,D,F,F,D,F,A,C,D,4,141.3,0,65,47,0.15,-22.1,222.1,12.2,0.21,40,28.1,Develops customer relationship management software,Information Technology Services,110,31,47,10,33
PEN,"Penumbra, Inc.",B,Conservative,A,B,A,C,C,A,C,B,C,C,5,1,0,166,80,-0.05,0,102.2,26.9,0.03,0,82.2,Manufactures medical devices,Medical Specialties,169,37,32,0,13
PEP,"PepsiCo, Inc.",D,Conservative,F,C,D,C,D,C,C,F,D,A,153,32.2,3,122,96,1.5,3.4,16,2.6,1.53,1.98,8,Provides a diversified line of soft drinks and snack foods,Beverages: Non-Alcoholic,17,2,5,11,11
PFE,Pfizer Inc.,D,Conservative,D,C,D,C,C,C,C,D,C,A,213,10.4,4,39,33,0.67,3.6,13,3.4,0.74,10.79,6.5,Manufactures vaccines and injectable biologic medicines,Pharmaceuticals: Major,47,2,15,8,10
